path,sha256,size_bytes,subject_id,session_id,trial_id,experiment_id,acquisition_timestamp,acquisition_timestamp_source,processing_version,record_type_sample,notes
logs/maxelicit_20260703_223509.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,,,,,2026-07-03T17:05:12.905152+00:00,"file mtime (WEAK, non-evidentiary -- no ts_utc/generated_at_utc field in this file)",,,"subject_id: file could not be parsed (see parse_status); session_id: file could not be parsed (see parse_status); trial_id: file could not be parsed (see parse_status); experiment_id: file could not be parsed (see parse_status) (predates Gate 0 provenance, this task); processing_version: file could not be parsed (see parse_status); parse_status: file is empty"
logs/maxelicit_20260703_223608.jsonl,3d5d32ccc94d14015b70e552b86f70f423071585c3834a31576789d56d1d3873,939978,,,,,2026-07-03T17:07:25.320284+00:00,"file mtime (WEAK, non-evidentiary -- no ts_utc/generated_at_utc field in this file)",,,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; session_id: none of ['session_id'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); processing_version: none of ['schema_version'] present in this file's records; parse_status: parsed: JSONL (first record)"
logs/orientation_trials.jsonl,9a47ada316f9fd805f1e1fc5ac2dfaf38a4676a3a11e2b76aa882907204d5d89,25895,TEST,ddbc2c0f-4006-4d97-8963-62d3cc9975f7,,,2026-08-03T15:53:45.310428+00:00,record field (ts_utc/generated_at_utc of first record),1.0,orientation_trial,"trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_09a3bc97-6257-48f3-b451-afd43f6c6864.jsonl,1979866802a2bc68c2e6852c7bf91f1f9fef8ff57c523efc922e93baeb9bbd41,2131238,,09a3bc97-6257-48f3-b451-afd43f6c6864,,,2026-07-04T13:33:04.694288+00:00,record field (ts_utc/generated_at_utc of first record),1.3,sample,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_234bf4e6-5223-4838-8f37-6fd54f3972f6.jsonl,ac94e80647bcb842a160da9da2c61f49d23d7d02bf1b3878ccad714c80e23d63,680524,,234bf4e6-5223-4838-8f37-6fd54f3972f6,,,2026-07-04T04:08:16.573144+00:00,record field (ts_utc/generated_at_utc of first record),1.1,sample,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_2be7a0e4-981d-4041-b5ae-197f7b3d4e07.jsonl,c2f3f4540331722cf50ba4898b8a2733302051fdaf82d256bac5af56fd304a92,2895560,TEST_THREE_SIGNAL,2be7a0e4-981d-4041-b5ae-197f7b3d4e07,,,2026-08-01T15:19:18.955287+00:00,record field (ts_utc/generated_at_utc of first record),1.6,sample,"trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_3289d108-f63f-41a9-9657-b2a83a40ce74.jsonl,62f85ea36386de33706e587650e37edc56de9b8eab49d3a7332f0985480b2153,993128,,3289d108-f63f-41a9-9657-b2a83a40ce74,,,2026-07-04T04:05:17.061245+00:00,record field (ts_utc/generated_at_utc of first record),1.1,sample,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_35bd3488-07a4-4cd2-b344-d1adc804b347.jsonl,11badc197f86759deb7dfadfb51c0a9a2a6839dcc9d65c82baec27714440a24a,1749942,TEST_INTEGRATION,35bd3488-07a4-4cd2-b344-d1adc804b347,,,2026-08-01T07:39:28.696187+00:00,record field (ts_utc/generated_at_utc of first record),1.5,sample,"trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_518d2fe5-16a7-4a98-97ba-9ed24a077036.jsonl,5f7e24e6a97939437dfccf7d6617cafe58d5f79c12ffa1e72d0dfe7d641ee481,1172434,P02,518d2fe5-16a7-4a98-97ba-9ed24a077036,,,2026-07-04T15:33:06.648330+00:00,record field (ts_utc/generated_at_utc of first record),1.3,sample,"trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_677e0e86-072e-4d69-96f5-60e3e6ce1590.jsonl,16a47863032ae812c12400008c8705200e06d7ea0e134630eda436154b70db50,2256334,TEST_THREE_SIGNAL,677e0e86-072e-4d69-96f5-60e3e6ce1590,,,2026-08-01T15:17:48.748668+00:00,record field (ts_utc/generated_at_utc of first record),1.6,sample,"trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
